token,entry_time,entry_price,entry_token_amount,entry_sol_amount,entry_network_fee,entry_pump_fee,entry_token_account_fee,exit_time,exit_price,exit_token_amount,exit_sol_amount,exit_network_fee,exit_pump_fee,hold_time,gross_pnl,net_pnl,gross_roi,net_roi,wallet_address
2NPY654kJzN3KPJ6kd37Uat8pEKJVQPKZacwvYUupump,2025-04-02 16:38:32,4.6110777465770084e-08,414878.452531,0.019130368,2.75e-05,0.000191304,0.00203928,2025-04-02 16:38:50,6.240683227111051e-08,414878.452531,0.02589125,2.75e-05,0.000258913,0.3,0.006760882000000003,0.004216385000000003,35.34109746346753,19.713371495982987,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
BeRVoqfgMP57n3777JnLiCqizpEGvqzNEz3EE6uapump,2025-04-02 16:43:14,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 16:44:09,6.09165283128595e-08,414878.452531,0.025272955,2.75e-05,0.00025273,0.9166666666666666,0.006230592,0.0036931579999999985,32.71963673836068,17.339122433803457,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
8ium9yacxPTCRuTj7DqQw62JLjwwvkDbhtgxrpL5pump,2025-04-02 17:04:40,4.649794387323251e-08,414878.452531,0.019290995,2.75e-05,0.00019291,0.00203928,2025-04-02 17:05:17,6.319791457002907e-08,414878.452531,0.026219453,2.75e-05,0.000262195,0.6166666666666667,0.006928458000000002,0.004379073000000001,35.91550358081583,20.31987846325999,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
A38GpAzDUdTYfMZDroU3EZDmoTH9TMgZiZuB7rCXpump,2025-04-02 17:10:37,4.586421609490121e-08,414878.452531,0.019028075,2.75e-05,0.000190281,0.00203928,2025-04-02 17:10:45,5.4296984725464365e-08,414878.452531,0.022526649,2.75e-05,0.000225267,0.13333333333333333,0.003498574000000001,0.0009887459999999987,18.3863790740787,4.645241637168768,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
AykbEcivyuCH9vnUqo3aeVxKgNPmcy3w8Bgni9xrpump,2025-04-02 17:12:43,4.67146941032129e-08,414878.452531,0.01938092,2.75e-05,0.00019381,0.00203928,2025-04-02 17:13:43,2.802015368376205e-08,414878.452531,0.011624958,2.75e-05,0.00011625,1.0,-0.007755962,-0.010160302,-40.018544011326604,-46.948212024022354,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
FsyJYgSpTEzJstHFGNeX38CSF8ov2mQPs7bPGwcqpump,2025-04-02 17:30:34,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 17:30:43,4.700881398159073e-08,414878.452531,0.019502944,2.75e-05,0.00019503,0.15,0.00046058100000000157,-0.0020191529999999992,2.418717677002595,-9.479784260403036,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
EiFi6M3kgbCLFa9XF7q3hfhgn3phhLbKfaqN8A4Fpump,2025-04-02 17:31:50,4.589865509724716e-08,414878.452531,0.019042363,2.75e-05,0.000190424,0.00203928,2025-04-02 17:32:08,6.62806897592381e-08,414878.452531,0.02749843,2.75e-05,0.000274985,0.3,0.008456067000000001,0.005896378000000001,44.40660541971604,27.68308858109651,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
AwcV1gLQJcQboEvrhzD8UFq7C5wvLpqQbkiT1WPcpump,2025-04-02 17:40:38,4.5775209303213855e-08,414878.452531,0.018991148,2.75e-05,0.000189912,0.00203928,2025-04-02 17:40:54,6.580203872593295e-08,414878.452531,0.027299848,2.75e-05,0.000272999,0.26666666666666666,0.008308700000000002,0.005751509000000002,43.750383073208646,27.068676157199988,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
AwcV1gLQJcQboEvrhzD8UFq7C5wvLpqQbkiT1WPcpump,2025-04-02 17:45:50,9.193077972452094e-08,206234.441357,0.018959293,2.75e-05,0.000189593,0.0,2025-04-02 17:46:17,1.057724250928546e-07,206234.441357,0.021813917,2.75e-05,0.00021814,0.45,0.002854624,0.0023918910000000036,15.056595201097425,12.473106246401194,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
FKwgW59CsWDyXJqHLnBjfyqb9AepbCu3SmUSapQJpump,2025-04-02 17:51:15,4.561809822742201e-08,414878.452531,0.018925966,2.75e-05,0.00018926,0.00203928,2025-04-02 17:51:29,3.088469387077309e-08,414878.452531,0.012813394,2.75e-05,0.000128134,0.23333333333333334,-0.006112571999999998,-0.008524246,-32.297278775624974,-40.24286462764669,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
