token,entry_time,entry_price,entry_token_amount,entry_sol_amount,entry_network_fee,entry_pump_fee,entry_token_account_fee,exit_time,exit_price,exit_token_amount,exit_sol_amount,exit_network_fee,exit_pump_fee,hold_time,gross_pnl,net_pnl,gross_roi,net_roi,wallet_address
Fi62p1zxKqXX7JK9xycjQzusZEhU3RCRP1jfw2gBpump,2025-04-03 12:55:01,4.6226341529623906e-08,2170875.623711,0.100351638,5.75e-05,0.001003517,0.00203928,2025-04-03 12:55:10,8.453696701715379e-08,2170875.623711,0.183519241,5.75e-05,0.001835193,0.15,0.08316760299999999,0.07817461299999999,82.87617886217262,75.5661196670705,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
CbPpLseCzJxvEjA2Wi85LC2PmuryNg2hAba8JYsipump,2025-04-03 12:59:04,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:00:13,6.030499332624509e-08,2170875.623711,0.13091464,5.75e-05,0.001309147,1.15,0.031139948,0.026678774000000002,31.210267228888068,25.93465203619365,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
7AK5wfs9YTdibzvEVtJ4XE4XXbkMLFVJddR8rb1upump,2025-04-03 13:02:58,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:03:06,6.628237538271588e-08,2170875.623711,0.143890793,5.75e-05,0.001438908,0.13333333333333333,0.04411610099999999,0.039525166000000014,44.215722560185895,38.42273362646995,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
5wZKzJJEb977oYyTUQqPzw9Q8jAT6cAHeiasWtxGpump,2025-04-03 13:05:50,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:06:15,3.94443836693057e-08,2170875.623711,0.085628851,5.75e-05,0.000856289,0.4166666666666667,-0.014145840999999992,-0.01815415699999999,-14.177784683113822,-17.64780288649804,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
F6EDaT4y8NEehxvwogFeYRMnnuuxGE1tDjM5tizBpump,2025-04-03 13:07:51,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:08:47,6.403012290606691e-08,2170875.623711,0.139001433,5.75e-05,0.001390015,0.9333333333333333,0.03922674100000001,0.03468469900000003,39.315321564711034,33.71727649648047,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
8jWJDg3CsaiNNtKHQLTWix7bYW8764GfGhPJJoh8pump,2025-04-03 13:14:14,4.620940596703412e-08,2170875.623711,0.100314873,5.75e-05,0.001003149,0.00203928,2025-04-03 13:14:26,2.8184255851290192e-08,2170875.623711,0.061184514,5.75e-05,0.000611846,0.2,-0.039130358999999997,-0.042899634,-39.007534804933655,-41.4830693192257,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
64DkZwwS5fgajNZGtX2TCDFcJKNW2bkWcA6w26Umpump,2025-04-03 13:15:00,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:16:00,2.8771394969753886e-08,2170875.623711,0.06245912,5.75e-05,0.000624592,1.0,-0.037315572,-0.041092191,-37.399836824352214,-39.94605130617352,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
65nxvqMSFV2gEJv7pbFqBYD6hAXh5RvyUVxmVjxVpump,2025-04-03 13:17:58,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:18:11,2.8334278725213877e-08,2170875.623711,0.061510195,5.75e-05,0.000615102,0.21666666666666667,-0.038264497,-0.042031626,-38.350904656262934,-40.85928366968549,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
DybXpoqrPYGUJ45254Q9kj68odvcLbcVaVpbcCQFpump,2025-04-03 13:21:11,4.622451507768133e-08,2170875.623711,0.100347673,5.75e-05,0.001003477,0.00203928,2025-04-03 13:22:26,2.82641862711193e-08,2170875.623711,0.061358033,5.75e-05,0.000613581,1.25,-0.03898964,-0.04276097800000001,-38.8545532092209,-41.335750265858394,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
4SgKrLKSeJ7zQgv5MEt4vb9iEsgCd3yp9XuBJeLKpump,2025-04-03 13:23:43,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 13:24:05,6.446345818779617e-08,2170875.623711,0.13994215,5.75e-05,0.001399422,0.36666666666666664,0.04016745799999999,0.03561600899999999,40.25816286158016,34.622610481761306,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
