token,entry_time,entry_price,entry_token_amount,entry_sol_amount,entry_network_fee,entry_pump_fee,entry_token_account_fee,exit_time,exit_price,exit_token_amount,exit_sol_amount,exit_network_fee,exit_pump_fee,hold_time,gross_pnl,net_pnl,gross_roi,net_roi,wallet_address
HjDfYYB7iDe4BZpdjwgQ5LKMw1zX32dx27n5pxSRpump,2025-04-03 12:36:50,4.596057503720102e-08,2170875.623711,0.099774692,5.75e-05,0.000997747,0.00203928,2025-04-03 12:37:02,2.9356436777828044e-08,2170875.623711,0.063729173,5.75e-05,0.000637292,0.2,-0.036045519,-0.039834838,-36.126915831521686,-38.72376828291075,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
35P9xUSgetkYk1NoazbuTdVsBw6mT54Z3CG1ATPgpump,2025-04-03 12:40:58,4.622451507768133e-08,2170875.623711,0.100347673,5.75e-05,0.001003477,0.00203928,2025-04-03 12:41:20,2.847804099173493e-08,2170875.623711,0.061822285,5.75e-05,0.000618223,0.36666666666666664,-0.038525388,-0.04230136800000001,-38.391909695803314,-40.89145911377831,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
GM4p5drfUa3sznXrrKRwiUbahfNahHH46JGrPQFxpump,2025-04-03 12:44:26,4.622451507768133e-08,2170875.623711,0.100347673,5.75e-05,0.001003477,0.00203928,2025-04-03 12:44:56,3.944595400339705e-08,2170875.623711,0.08563226,5.75e-05,0.000856323,0.5,-0.014715412999999997,-0.018729493000000014,-14.664428740664468,-18.105237098509377,b7whrb4w7nbdkprmkhzosqx76h4cj1bx9kv7p4f9dq6v
